construction,set,horizon,seed,alpha,selection_scheme
single_kernel,Z,2,9,0.001,random_temporal_rows_80_20
single_kernel,Z,4,9,0.0001,random_temporal_rows_80_20
single_kernel,Z,8,9,0.001,random_temporal_rows_80_20
single_kernel,Z,1,10,1e-08,random_temporal_rows_80_20
single_kernel,Z,2,10,0.0001,random_temporal_rows_80_20
single_kernel,Z,4,10,1e-08,random_temporal_rows_80_20
single_kernel,Z,8,10,0.001,random_temporal_rows_80_20
single_kernel,F,1,1,1e-08,random_temporal_rows_80_20
single_kernel,F,2,1,0.001,random_temporal_rows_80_20
single_kernel,F,4,1,0.01,random_temporal_rows_80_20
single_kernel,F,8,1,0.01,random_temporal_rows_80_20
single_kernel,F,1,2,1e-08,random_temporal_rows_80_20
single_kernel,F,2,2,1e-08,random_temporal_rows_80_20
single_kernel,F,4,2,1e-08,random_temporal_rows_80_20
single_kernel,F,8,2,1e-08,random_temporal_rows_80_20
single_kernel,F,1,3,0.001,random_temporal_rows_80_20
single_kernel,F,2,3,0.01,random_temporal_rows_80_20
single_kernel,F,4,3,0.001,random_temporal_rows_80_20
single_kernel,F,8,3,0.01,random_temporal_rows_80_20
single_kernel,F,1,4,0.0001,random_temporal_rows_80_20
single_kernel,F,2,4,0.01,random_temporal_rows_80_20
single_kernel,F,4,4,0.01,random_temporal_rows_80_20
single_kernel,F,8,4,1e-08,random_temporal_rows_80_20
single_kernel,F,1,5,0.0001,random_temporal_rows_80_20
single_kernel,F,2,5,0.001,random_temporal_rows_80_20
single_kernel,F,4,5,0.001,random_temporal_rows_80_20
single_kernel,F,8,5,1e-08,random_temporal_rows_80_20
single_kernel,F,1,6,0.001,random_temporal_rows_80_20
single_kernel,F,2,6,0.01,random_temporal_rows_80_20
single_kernel,F,4,6,1e-08,random_temporal_rows_80_20
single_kernel,F,8,6,1e-08,random_temporal_rows_80_20
single_kernel,F,1,7,0.01,random_temporal_rows_80_20
single_kernel,F,2,7,0.01,random_temporal_rows_80_20
single_kernel,F,4,7,0.01,random_temporal_rows_80_20
single_kernel,F,8,7,0.01,random_temporal_rows_80_20
single_kernel,F,1,8,0.001,random_temporal_rows_80_20
single_kernel,F,2,8,0.01,random_temporal_rows_80_20
single_kernel,F,4,8,0.01,random_temporal_rows_80_20
single_kernel,F,8,8,0.001,random_temporal_rows_80_20
single_kernel,F,1,9,0.01,random_temporal_rows_80_20
single_kernel,F,2,9,1e-08,random_temporal_rows_80_20
single_kernel,F,4,9,1e-08,random_temporal_rows_80_20
single_kernel,F,8,9,0.01,random_temporal_rows_80_20
single_kernel,F,1,10,0.01,random_temporal_rows_80_20
