source,scenario,model,seed,test_segment,horizon,nrmse,selected_alpha
nonlinear_simulator,ar1_phi030,QRC_K0,1,3,32,1.0010148811710797,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,4,32,1.00095745978039,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,5,32,1.0000736259170053,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,6,32,1.0010671087343674,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,7,32,1.0022988652950091,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,8,32,1.0003848535540933,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,9,32,1.0035505207934787,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,10,32,1.0008129056433641,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,11,32,1.001496139159759,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,0,64,0.9991098118476286,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,1,64,1.001781037264517,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,2,64,1.0025443947121737,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,3,64,1.0013312119823752,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,4,64,0.9996662939012366,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,5,64,1.0011139700373273,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,6,64,1.00127869641776,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,7,64,0.999345232922237,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,8,64,1.002213853961054,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,9,64,1.0030957512589143,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,10,64,1.0016784451400416,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,11,64,1.0008498406401767,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,0,128,0.999908629805083,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,1,128,1.0019908169301042,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,2,128,1.0028167288050818,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,3,128,0.9996615565076398,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,4,128,0.9992836259807806,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,5,128,1.0007928569620583,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,6,128,0.9993892197323837,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,7,128,1.0005711006883642,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,8,128,1.0008115749039537,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,9,128,1.0014223377457863,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,10,128,1.0007684939258332,100.0
nonlinear_simulator,ar1_phi030,QRC_K0,1,11,128,0.9999163468709797,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,1,0.9429765819499505,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,1,0.9693249710290681,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,1,0.9632937830245593,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,1,0.9687851604984218,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,1,0.989659267522424,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,1,0.9321616520443583,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,1,0.967685558071473,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,1,0.9338894297268306,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,1,0.9679546692652272,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,1,0.9506921406094937,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,1,0.9523135418277808,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,1,0.939408763139709,1.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,2,0.9936130658670382,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,2,0.9934576584879096,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,2,0.9936716288565864,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,2,0.9969307412627454,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,2,0.9999809413082408,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,2,0.997680668541109,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,2,0.9989339589100487,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,2,0.9929310786373865,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,2,1.003855987984754,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,2,0.9936908597740823,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,2,0.9914549901303267,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,2,0.995088806560031,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,4,1.0017294841370525,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,4,1.001147659346275,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,4,1.0005920626325926,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,4,1.0010765648709132,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,4,1.0004439246422436,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,4,1.0000817150174097,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,4,1.001285160909525,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,4,1.0015929248254363,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,4,1.0006216773833994,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,4,1.0030261831888914,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,4,0.9999410570072316,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,4,1.0001723979961799,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,8,1.0016820521171956,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,8,1.0013150473408394,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,8,1.0007604079648016,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,8,1.0005185131895533,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,8,1.0002121443293368,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,8,1.0006387829373424,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,8,1.001653954379344,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,8,1.0021003651097868,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,8,1.0006113884217522,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,8,1.0031568272778368,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,8,1.0001571669922529,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,8,1.0001920213508944,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,16,1.0014952630227636,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,16,1.001496865721616,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,16,1.0007668318020713,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,16,1.0008265976015538,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,16,1.0003172082871614,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,16,1.0005416828061444,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,16,1.0015847435520584,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,16,1.0019411959997977,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,16,1.0011214411400222,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,16,1.004463593007552,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,16,0.9989056696131793,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,16,1.0004353177557006,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,32,1.000696611108527,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,32,1.0006788429387736,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,32,1.000765505436192,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,32,1.000779354883106,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,32,1.0001304103826774,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,32,1.0001525017290116,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,32,1.0014039368398606,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,32,1.00200748782463,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,32,1.0009163476212373,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,32,1.003762269433744,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,32,1.0002716187423144,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,32,1.0001697800897051,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,64,0.999782399414308,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,64,1.000982496110558,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,64,1.002211880024736,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,64,1.0010782846610442,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,64,0.9999238396830727,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,64,1.0008574222417574,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,64,1.000913025547222,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,64,1.0006198102384172,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,64,1.0024264253717754,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,64,1.0042947011517807,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,64,1.0012082148091501,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,64,1.0007017496840833,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,0,128,0.9998574728228253,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,1,128,1.0015048261037747,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,2,128,1.002799914759294,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,3,128,0.9998781697085398,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,4,128,1.000174025764581,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,5,128,1.000551063748862,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,6,128,1.000072193059537,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,7,128,1.0003351575050166,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,8,128,1.0000346091086978,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,9,128,1.0015480697052785,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,10,128,1.0010732048818451,100.0
nonlinear_simulator,ar1_phi030,AB_noaux,1,11,128,0.9993111916446623,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,1,0.9430233625086557,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,1,0.9708036813383505,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,1,0.9642976942099658,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,1,0.9682772984148759,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,1,0.9889901901694381,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,1,0.9332108154232974,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,1,0.9666966964608882,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,1,0.9330213406638892,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,1,0.9683217299140051,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,1,0.9491932569906573,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,1,0.9523755792377353,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,1,0.939460846218107,1.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,2,0.9935011289857506,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,2,0.9937236904658746,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,2,0.9937114833162196,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,2,0.997015723328673,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,2,0.9998529799191314,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,2,0.997634894375126,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,2,0.9988073989615496,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,2,0.9928763373719045,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,2,1.0038022284289874,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,2,0.993639527588788,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,2,0.9918803702182581,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,2,0.9949261037485981,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,4,1.001680334919994,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,4,1.0014630899914758,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,4,1.0006426501123051,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,4,1.0011703048842735,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,4,1.0002250859538344,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,4,1.000344696581815,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,4,1.001253425700555,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,4,1.001634137788223,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,4,1.0005767998695312,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,4,1.0028759935634879,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,4,1.000103085825193,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,4,1.0001184781155983,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,8,1.001512737592147,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,8,1.0014750009865419,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,8,1.000729090705873,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,8,1.0005936470150045,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,8,1.0000730059077938,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,8,1.0006031492505525,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,8,1.0015610984069252,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,8,1.0019197071201507,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,8,1.000600008634403,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,8,1.003303214534938,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,8,1.0001327206172603,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,8,1.0001359538636356,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,16,1.0016509276858756,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,16,1.0013680421811546,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,16,1.0006281706797293,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,16,1.000859196799082,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,16,0.9999015274937302,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,16,1.0002999806315553,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,16,1.001450727965086,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,16,1.0017296160618259,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,16,1.0013604872964457,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,16,1.0046077073099418,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,16,0.9984557432860034,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,16,1.0003192645042343,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,32,1.0006971211586602,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,32,1.0002735646696852,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,32,1.0011525477535814,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,32,1.0007759921651251,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,32,1.0005120429490952,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,32,1.00008210734727,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,32,1.0011860287505532,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,32,1.0022395943834226,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,32,1.0006903966081342,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,32,1.0036110386613737,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,32,1.0004657994237027,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,32,1.0009169810909977,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,64,0.999597843253444,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,64,1.001164079179126,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,64,1.0024515586832274,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,64,1.0010051301818952,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,64,0.9994733467854378,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,64,1.0009767454167293,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,64,1.0010536811494768,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,64,1.0003543652625189,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,64,1.0023903166000843,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,64,1.0037430829860376,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,64,1.001210285014244,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,64,1.0008662677808544,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,0,128,0.9998893749211041,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,1,128,1.001732710743272,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,2,128,1.0026509051677603,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,3,128,1.000305400298193,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,4,128,0.9999101283744335,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,5,128,1.0006761035911111,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,6,128,1.0000383908377988,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,7,128,1.0001329999602697,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,8,128,1.000315024104079,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,9,128,1.0013157586104005,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,10,128,1.000721967748944,100.0
nonlinear_simulator,ar1_phi030,single_kernel,1,11,128,0.9995929520180385,100.0
nonlinear_simulator,ar1_phi030,triangular,1,0,1,0.9422344777310975,1.0
nonlinear_simulator,ar1_phi030,triangular,1,1,1,0.9701975600768512,1.0
nonlinear_simulator,ar1_phi030,triangular,1,2,1,0.9643507270335655,1.0
nonlinear_simulator,ar1_phi030,triangular,1,3,1,0.9681806675632861,1.0
