analysis,scenario,metric,value
pairwise,nonlinear_ar1_phi085,AB_noaux__vs__triangular,0.0
pairwise,nonlinear_ar1_phi085,AB_noaux__vs__uniform,0.0
pairwise,nonlinear_ar1_phi085,QRC_K0__vs__single_kernel,0.0
pairwise,nonlinear_ar1_phi085,QRC_K0__vs__triangular,0.0
pairwise,nonlinear_ar1_phi085,QRC_K0__vs__uniform,0.0
pairwise,nonlinear_ar1_phi085,single_kernel__vs__triangular,0.0
pairwise,nonlinear_ar1_phi085,single_kernel__vs__uniform,1.0
pairwise,nonlinear_ar1_phi085,triangular__vs__uniform,0.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,AB_noaux__vs__QRC_K0,0.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,AB_noaux__vs__single_kernel,0.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,AB_noaux__vs__triangular,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,AB_noaux__vs__uniform,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,QRC_K0__vs__single_kernel,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,QRC_K0__vs__triangular,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,QRC_K0__vs__uniform,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,single_kernel__vs__triangular,1.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,single_kernel__vs__uniform,0.0
pairwise,phase_surrogate_nonlinear_ar1_phi085,triangular__vs__uniform,0.0
pairwise_accuracy,ALL,accuracy_100_pairs,0.68
top2_match,ALL,mean,0.8
ci_tie_match,ALL,mean,0.9
predicted_model_regret,ALL,mean,5.815253112769923e-05
leave_one_scenario_out,ar1_phi030,centered_pearson_without_scenario,0.9608937839471683
leave_one_scenario_out,ar1_phi060,centered_pearson_without_scenario,0.9608942119990774
leave_one_scenario_out,ar1_phi085,centered_pearson_without_scenario,0.9609435411283881
leave_one_scenario_out,ar1_phi095,centered_pearson_without_scenario,0.9624034857149777
leave_one_scenario_out,ar2_rho075_f012,centered_pearson_without_scenario,0.9610541472889101
leave_one_scenario_out,ar2_rho090_f012,centered_pearson_without_scenario,0.8257947978795108
leave_one_scenario_out,colored_beta05,centered_pearson_without_scenario,0.9609192941606846
leave_one_scenario_out,colored_beta15,centered_pearson_without_scenario,0.9924693374239694
leave_one_scenario_out,nonlinear_ar1_phi085,centered_pearson_without_scenario,0.9617862515471798
leave_one_scenario_out,phase_surrogate_nonlinear_ar1_phi085,centered_pearson_without_scenario,0.9612596792589825
