scenario,model,horizon,predicted_nrmse,measured_nrmse
ar1_phi085,single_kernel,16,1.0071556744413217,1.0062995566097226
ar1_phi085,single_kernel,32,1.0093687289324,1.0068121769114642
ar1_phi085,single_kernel,64,1.0117016065107112,1.007022726261975
ar1_phi085,single_kernel,128,1.0154403757610373,1.0156883745636798
ar1_phi085,triangular,1,0.5443283140752594,0.5465460337413077
ar1_phi085,triangular,2,0.7140010409565736,0.7168514721377455
ar1_phi085,triangular,4,0.8738952663585304,0.8749978711498636
ar1_phi085,triangular,8,0.9766603897603906,0.9773021904592105
ar1_phi085,triangular,16,1.0070181541734124,1.0061350304427754
ar1_phi085,triangular,32,1.0095278460519463,1.0067887064639982
ar1_phi085,triangular,64,1.0121344049051217,1.007274096006273
ar1_phi085,triangular,128,1.0153150527090047,1.0152055908230198
ar1_phi085,uniform,1,0.5443059884396838,0.5467515193007573
ar1_phi085,uniform,2,0.7139554348492791,0.7169334879363841
ar1_phi085,uniform,4,0.8738524769390741,0.8748037735063457
ar1_phi085,uniform,8,0.9772890290273679,0.9775059852265255
ar1_phi085,uniform,16,1.006787141898151,1.005903935436877
ar1_phi085,uniform,32,1.0096560098283827,1.0068023025513002
ar1_phi085,uniform,64,1.011668122617887,1.0075850790072318
ar1_phi085,uniform,128,1.0150261542946692,1.0147329482720346
ar1_phi095,AB_noaux,1,0.33300448733703747,0.3346714820854102
ar1_phi095,AB_noaux,2,0.4597263214906086,0.4609212543118142
ar1_phi095,AB_noaux,4,0.6192968620032322,0.6211156759752332
ar1_phi095,AB_noaux,8,0.791820217381588,0.7940436772538921
ar1_phi095,AB_noaux,16,0.9377072072089285,0.9429523504456545
ar1_phi095,AB_noaux,32,1.018141924095529,1.0275651368586158
ar1_phi095,AB_noaux,64,1.0319758612006915,1.0283094355048732
ar1_phi095,AB_noaux,128,1.0317590619216752,1.0320532077758509
ar1_phi095,QRC_K0,1,0.333192636522087,0.3347201166780997
ar1_phi095,QRC_K0,2,0.459884821195513,0.46135806348984254
ar1_phi095,QRC_K0,4,0.6193383428660605,0.6205820024345349
ar1_phi095,QRC_K0,8,0.7920559412789975,0.793039465468346
ar1_phi095,QRC_K0,16,0.9381596500686107,0.9414376795656043
ar1_phi095,QRC_K0,32,1.0191211329039789,1.028420242294618
ar1_phi095,QRC_K0,64,1.0321772890102825,1.031596879461332
ar1_phi095,QRC_K0,128,1.0314649678400647,1.0372695212753777
ar1_phi095,single_kernel,1,0.3330723043615181,0.3342378575614974
ar1_phi095,single_kernel,2,0.4598047143559945,0.46076532426466493
ar1_phi095,single_kernel,4,0.6193652631426957,0.6209401356675758
ar1_phi095,single_kernel,8,0.7921225810324323,0.7936841365097008
ar1_phi095,single_kernel,16,0.9376463129624033,0.942468697929146
ar1_phi095,single_kernel,32,1.0185170445804954,1.0276098123916109
ar1_phi095,single_kernel,64,1.0321335967173655,1.0281317329419182
ar1_phi095,single_kernel,128,1.0318867885900298,1.032347582005537
ar1_phi095,triangular,1,0.3331392642436334,0.3341754239739924
ar1_phi095,triangular,2,0.4598387683229023,0.46064051776279974
ar1_phi095,triangular,4,0.6192775314962836,0.6209911249823783
ar1_phi095,triangular,8,0.7918213868339455,0.7939730795964762
ar1_phi095,triangular,16,0.9379005340751365,0.942437621345204
ar1_phi095,triangular,32,1.0179314209634205,1.0270383435847452
ar1_phi095,triangular,64,1.0319202070990376,1.0285396254714325
ar1_phi095,triangular,128,1.0317914860872468,1.0320210235163092
ar1_phi095,uniform,1,0.33306863654796237,0.3341097171474709
ar1_phi095,uniform,2,0.4597849359315873,0.4604904114692393
ar1_phi095,uniform,4,0.6192824204261437,0.6211732551296143
ar1_phi095,uniform,8,0.7919245309547269,0.7944337249718488
ar1_phi095,uniform,16,0.9371656729722864,0.9424876729367683
ar1_phi095,uniform,32,1.0180969258636015,1.0263915064330413
ar1_phi095,uniform,64,1.0317931396335753,1.0289590502503194
ar1_phi095,uniform,128,1.0314986502612455,1.0318353496534782
ar2_rho075_f012,AB_noaux,1,0.6316327490119898,0.6254198597731938
ar2_rho075_f012,AB_noaux,2,0.9072513902837811,0.9009739502860425
ar2_rho075_f012,AB_noaux,4,0.958910674262012,0.9588035733779381
ar2_rho075_f012,AB_noaux,8,0.9986019097223404,0.998312673766149
ar2_rho075_f012,AB_noaux,16,1.0026246850180387,1.0019416970921515
ar2_rho075_f012,AB_noaux,32,1.0027457292582436,1.0027298578564698
ar2_rho075_f012,AB_noaux,64,1.0020773459115189,1.0024728857249339
ar2_rho075_f012,AB_noaux,128,1.0032952018823058,1.003237082898127
ar2_rho075_f012,QRC_K0,1,0.5930708010264472,0.6003662944694802
ar2_rho075_f012,QRC_K0,2,0.8749200231151621,0.8786312596054676
ar2_rho075_f012,QRC_K0,4,0.9592042066614425,0.9591560845747519
ar2_rho075_f012,QRC_K0,8,1.0006643614763358,0.9994007223387613
ar2_rho075_f012,QRC_K0,16,1.0033923203296091,1.001887655864831
ar2_rho075_f012,QRC_K0,32,1.00309987064796,1.0027058585700308
ar2_rho075_f012,QRC_K0,64,1.002377083830047,1.0027048019471938
ar2_rho075_f012,QRC_K0,128,1.003617779513817,1.0035863887322067
ar2_rho075_f012,single_kernel,1,0.592783799466591,0.5978295093369279
ar2_rho075_f012,single_kernel,2,0.8744275814121254,0.877263636095319
ar2_rho075_f012,single_kernel,4,0.9581218116907109,0.9582608889197581
ar2_rho075_f012,single_kernel,8,0.9992915582231596,0.9993037657550956
ar2_rho075_f012,single_kernel,16,1.0023034861400157,1.001775873697915
ar2_rho075_f012,single_kernel,32,1.00306462748319,1.0029107991736745
ar2_rho075_f012,single_kernel,64,1.0027199588415818,1.0029165569925302
ar2_rho075_f012,single_kernel,128,1.0038125861152185,1.0034455114867784
ar2_rho075_f012,triangular,1,0.5927472634851236,0.5974855210734854
ar2_rho075_f012,triangular,2,0.8740225767151356,0.8767253270047216
ar2_rho075_f012,triangular,4,0.9578127542804794,0.9579415344677851
ar2_rho075_f012,triangular,8,0.9989075411302178,0.9989155649123993
ar2_rho075_f012,triangular,16,1.0019790266012771,1.0018265438780087
ar2_rho075_f012,triangular,32,1.0030098875169609,1.0026301940346807
ar2_rho075_f012,triangular,64,1.0025113927762979,1.0026137128078805
ar2_rho075_f012,triangular,128,1.0037658253428174,1.0034653839937013
ar2_rho075_f012,uniform,1,0.5942649311576407,0.5983172094820379
ar2_rho075_f012,uniform,2,0.8757053743795213,0.8776049876643135
ar2_rho075_f012,uniform,4,0.9579687918720633,0.9582933609514706
ar2_rho075_f012,uniform,8,0.9995489209687685,0.9987821269626542
ar2_rho075_f012,uniform,16,1.00201538265063,1.0018690815860054
ar2_rho075_f012,uniform,32,1.0030334280453408,1.00264570908955
ar2_rho075_f012,uniform,64,1.0025265678192004,1.0025029111513961
ar2_rho075_f012,uniform,128,1.0035686124504442,1.0036830022074117
ar2_rho090_f012,AB_noaux,1,0.5328445419802047,0.48907142310016966
ar2_rho090_f012,AB_noaux,2,0.8116701076143076,0.7595167090052063
ar2_rho090_f012,AB_noaux,4,0.7854307709987697,0.7870604135033714
ar2_rho090_f012,AB_noaux,8,0.9245903275394404,0.9250941170778011
ar2_rho090_f012,AB_noaux,16,0.9917148566002757,0.99433432950671
ar2_rho090_f012,AB_noaux,32,1.0023489985466503,1.0026781039041015
ar2_rho090_f012,AB_noaux,64,1.001796554451139,1.0014667651318925
ar2_rho090_f012,AB_noaux,128,1.002280383017909,1.0020439282023699
ar2_rho090_f012,QRC_K0,1,0.41671238802178956,0.4261259117695273
ar2_rho090_f012,QRC_K0,2,0.6847643465355618,0.6917675038975631
ar2_rho090_f012,QRC_K0,4,0.7841328955321499,0.7863176399940077
ar2_rho090_f012,QRC_K0,8,0.9228366249865052,0.922927908865951
ar2_rho090_f012,QRC_K0,16,0.9911237097869228,0.99088168148182
ar2_rho090_f012,QRC_K0,32,1.00375316840616,1.0025456276746687
ar2_rho090_f012,QRC_K0,64,1.003125909499383,1.0024711403210702
ar2_rho090_f012,QRC_K0,128,1.0022735269395162,1.0022793912047527
ar2_rho090_f012,single_kernel,1,0.416413613904179,0.4222730129968056
ar2_rho090_f012,single_kernel,2,0.684465068007079,0.6898031621786076
ar2_rho090_f012,single_kernel,4,0.7839253443436278,0.7865413255464337
ar2_rho090_f012,single_kernel,8,0.9226646306507988,0.923379930853935
ar2_rho090_f012,single_kernel,16,0.9905866019256747,0.9914625644472055
ar2_rho090_f012,single_kernel,32,1.002485368396373,1.003269196771448
ar2_rho090_f012,single_kernel,64,1.0035122429603212,1.0019220319377555
ar2_rho090_f012,single_kernel,128,1.0022675074896337,1.0061315246953453
ar2_rho090_f012,triangular,1,0.4167261939560339,0.42225852715214374
ar2_rho090_f012,triangular,2,0.6846219735627936,0.6898644414937294
ar2_rho090_f012,triangular,4,0.7837236459797012,0.7861654907268815
