construction,analysis_mode,set,horizon,seed,alpha,selection_scheme
ESN66_K0,fixed_core,Z,16,10,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,Z,32,10,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,Z,64,10,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,Z,128,10,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,1,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,1,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,1,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,1,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,1,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,1,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,2,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,2,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,2,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,2,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,2,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,3,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,3,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,3,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,3,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,3,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,4,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,4,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,4,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,4,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,4,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,4,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,4,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,4,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,5,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,5,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,5,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,5,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,5,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,5,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,5,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,5,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,6,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,6,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,64,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,128,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,F,1,7,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,F,2,7,1e-05,blocked_segments_train_val
ESN66_K0,fixed_core,F,4,7,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,F,8,7,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,16,7,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,F,32,7,1.0,blocked_segments_train_val
