set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact,median,p90,principal_signs_preserved,stratum_pass,stratum_pass_fraction_within_shot,principal_sign_fraction_definition
F,AB_noaux,8,100,1.071034422568952,0.111454306605029,0.1393047575624516,0.1033124355447861,0.1761729834973162,0.1246280193641816,0.1499625602714995,0.2813085901796966,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.1271789551305066,0.2863730535807404,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,8,300,1.0471248332215497,0.1040014202166318,0.1153951682150494,0.0822204179084014,0.1478681906339693,0.1079076480329769,0.1232946784587521,0.2390144678914825,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.1027650762859464,0.2342608976666073,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,8,1000,1.0220273899228771,0.0827006580511605,0.0902977249163769,0.0652990447909658,0.1165957180269112,0.0851263996717267,0.0963301618849737,0.190422913059481,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0781244939398997,0.1783165159102718,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,8,3000,0.9995113907010076,0.0584436478674844,0.0677817256945073,0.0496380461957892,0.0861251004010185,0.0615183300176997,0.0722502462381477,0.1424027571974644,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.059261759707953,0.1358981590022588,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,8,10000,0.98148236672702,0.0437187830910922,0.0497527017205196,0.0385540160315182,0.0613417830445301,0.0447804783555534,0.0529230325261866,0.1021868197611557,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0424492283706414,0.1014477317201304,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,16,100,1.1035035860042066,0.0527419916574904,0.0535401788650476,0.0360361132730726,0.0710915425001165,0.0522164705235946,0.0509397942150315,0.1056576118115795,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0429423252336231,0.1019573869815445,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,16,300,1.0970763894099795,0.0462365674915078,0.0471129822708204,0.0315842179028799,0.0638567212018842,0.0468569059085846,0.0445721893471914,0.0996668518634255,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0370957518153967,0.0916217754894227,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,16,1000,1.0875410919010426,0.0324120515507779,0.0375776847618837,0.024178630013579,0.0511619918888416,0.0321015576333505,0.0357619176462824,0.091187461023386,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0306354834209097,0.0808596984636878,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,16,3000,1.0819282884944426,0.0246129553137042,0.0319648813552835,0.0207004531055838,0.0436005932297268,0.025585248034985,0.0305442115556728,0.0804875838774871,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0249202023217549,0.0710466899929148,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,16,10000,1.0755986519898946,0.0206540305248836,0.0256352448507359,0.0165196798514894,0.0349921777755227,0.0211640397609429,0.0246923605114704,0.0666169087604384,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0214784521976474,0.059333978566861,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,32,100,1.1121246147721062,0.0275494047556826,0.0503285061040125,0.0263116566088884,0.0796940581638942,0.026998941412845,0.0466758751940364,0.1270306676414727,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0226961508382297,0.0868709931195496,True,True,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,32,300,1.1045104511455677,0.02624671335134,0.0427143424774739,0.0243035712793129,0.0667444966844101,0.0250758352465485,0.0397706902160911,0.1021103375441799,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0205388376081952,0.076106623751129,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,32,1000,1.0970734616905151,0.0239660602375966,0.0352773530224216,0.0209957016646068,0.0530782503690738,0.0226645412904501,0.0330213965952229,0.0814626130432266,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0186934934993833,0.0670575593996509,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,32,3000,1.0917400140166758,0.0210132033030501,0.029943905348582,0.0178243000887363,0.044227018876677,0.0199331190986259,0.0282144830055209,0.0729699979229188,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0162968997333144,0.0605005864316137,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,32,10000,1.0859690682514216,0.0161575590480786,0.024172959583328,0.0142418409168943,0.0359806877609488,0.0154988611513129,0.0228211249406911,0.0565706984165248,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.012895616679248,0.0532485404636311,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,64,100,1.0913099384016576,0.0269005108694292,0.0474330710643244,0.0256244616368993,0.0780714931793819,0.026145034557714,0.0443829688006873,0.1109840220632752,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0223750580456962,0.0979607871671742,True,True,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,64,300,1.0819813625283576,0.0231370601671319,0.0381044951910245,0.0221500355489016,0.0590953601838605,0.0228122751731401,0.035672067087177,0.0803548918716552,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0191619920311457,0.0751966600203403,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,64,1000,1.0738979224764245,0.0196147299829447,0.0300210551390914,0.0176514455428721,0.0445931310834661,0.0187165471630553,0.0281826994368845,0.0633051472059569,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0167465903765133,0.0581481706661419,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,64,3000,1.0665731115172523,0.0164580099589001,0.0226962441799194,0.0147528153415603,0.0330512699218763,0.0160898279954511,0.0214086117829227,0.0503583810331098,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0137077382228353,0.0460240487297594,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,AB_noaux,64,10000,1.0622907506237822,0.0130522877997455,0.0184138832864493,0.0116102234213516,0.0263410384791395,0.0126545563134532,0.0173823550221161,0.0418858658681069,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0106045583634217,0.0375219471677307,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
