construction,set,horizon,seed,alpha,selection_scheme
AB_noaux,F,32,1,1.0,blocked_segments_train_val
AB_noaux,F,64,1,0.001,blocked_segments_train_val
AB_noaux,F,128,1,1.0,blocked_segments_train_val
AB_noaux,F,1,2,1e-08,blocked_segments_train_val
AB_noaux,F,2,2,0.01,blocked_segments_train_val
AB_noaux,F,4,2,0.001,blocked_segments_train_val
AB_noaux,F,8,2,1e-08,blocked_segments_train_val
AB_noaux,F,16,2,0.1,blocked_segments_train_val
AB_noaux,F,32,2,0.1,blocked_segments_train_val
AB_noaux,F,64,2,0.1,blocked_segments_train_val
AB_noaux,F,128,2,0.01,blocked_segments_train_val
AB_noaux,F,1,3,1e-08,blocked_segments_train_val
AB_noaux,F,2,3,1e-08,blocked_segments_train_val
AB_noaux,F,4,3,1e-08,blocked_segments_train_val
AB_noaux,F,8,3,1e-08,blocked_segments_train_val
AB_noaux,F,16,3,0.01,blocked_segments_train_val
AB_noaux,F,32,3,0.01,blocked_segments_train_val
AB_noaux,F,64,3,1e-08,blocked_segments_train_val
AB_noaux,F,128,3,1.0,blocked_segments_train_val
AB_noaux,F,1,4,1e-08,blocked_segments_train_val
AB_noaux,F,2,4,1e-08,blocked_segments_train_val
AB_noaux,F,4,4,1e-08,blocked_segments_train_val
AB_noaux,F,8,4,1e-08,blocked_segments_train_val
AB_noaux,F,16,4,0.1,blocked_segments_train_val
AB_noaux,F,32,4,0.01,blocked_segments_train_val
AB_noaux,F,64,4,1.0,blocked_segments_train_val
AB_noaux,F,128,4,0.1,blocked_segments_train_val
AB_noaux,F,1,5,1e-08,blocked_segments_train_val
AB_noaux,F,2,5,1e-08,blocked_segments_train_val
AB_noaux,F,4,5,1e-08,blocked_segments_train_val
AB_noaux,F,8,5,1e-08,blocked_segments_train_val
AB_noaux,F,16,5,1e-08,blocked_segments_train_val
AB_noaux,F,32,5,1.0,blocked_segments_train_val
AB_noaux,F,64,5,1e-08,blocked_segments_train_val
AB_noaux,F,128,5,1.0,blocked_segments_train_val
AB_noaux,F,1,6,1e-08,blocked_segments_train_val
AB_noaux,F,2,6,1e-08,blocked_segments_train_val
AB_noaux,F,4,6,1e-08,blocked_segments_train_val
AB_noaux,F,8,6,1e-08,blocked_segments_train_val
AB_noaux,F,16,6,1e-08,blocked_segments_train_val
AB_noaux,F,32,6,0.1,blocked_segments_train_val
AB_noaux,F,64,6,1.0,blocked_segments_train_val
AB_noaux,F,128,6,1.0,blocked_segments_train_val
AB_noaux,F,1,7,0.01,blocked_segments_train_val
AB_noaux,F,2,7,0.1,blocked_segments_train_val
AB_noaux,F,4,7,0.1,blocked_segments_train_val
AB_noaux,F,8,7,0.1,blocked_segments_train_val
AB_noaux,F,16,7,1.0,blocked_segments_train_val
AB_noaux,F,32,7,1.0,blocked_segments_train_val
AB_noaux,F,64,7,0.1,blocked_segments_train_val
AB_noaux,F,128,7,1.0,blocked_segments_train_val
