analysis,scope,shots,set,model,horizon,median_absolute_nrmse_inflation,mean_absolute_nrmse_inflation,median_relative_nrmse_inflation,p90_relative_nrmse_inflation,n_rows,passing_strata,total_strata,passing_fraction,notes,comparator,interaction,interaction_change_from_exact,magnitude_ratio_to_exact,sign_preserved
inflation,horizon,3000,ALL,ALL,2,0.10751197778347629,0.1295592403796508,0.2480595181051753,0.802705750803082,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,2,0.0717044813357815,0.0901521822911568,0.16524743111845042,0.6008628882452655,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,4,0.1410190488974135,0.17344851744384107,0.18577175780634547,0.6728298581718816,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,4,0.1082412016785277,0.13485142358571564,0.1458601744314896,0.5250987209122369,5400.0,,,,,,,,,
inflation,horizon,1000,ALL,ALL,4,0.08223744837268179,0.10272655307878126,0.1092335773412762,0.3840137152797682,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,4,0.06392890347242935,0.07969871436466223,0.083754937181077,0.3083002764767219,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,4,0.0454598384537857,0.05894341028132862,0.06014484694739955,0.23500375259579284,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,8,0.051913129414590004,0.0743414237309229,0.055192392793699946,0.21620768646840247,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,8,0.0408129493181938,0.060766448512463885,0.04463084614948635,0.17884558449499857,5400.0,,,,,,,,,
inflation,horizon,1000,ALL,ALL,8,0.032340282404870455,0.04772719618675902,0.0356538652532307,0.14083284986201547,5400.0,,,,,,,,,
inflation,horizon,3000,ALL,ALL,8,0.02500009073973995,0.038278250731326645,0.02687035071347825,0.1191204081809835,5400.0,,,,,,,,,
inflation,horizon,10000,ALL,ALL,8,0.018662845775141247,0.03013956141132952,0.0199581176244895,0.09465299032555055,5400.0,,,,,,,,,
inflation,horizon,100,ALL,ALL,16,0.01877281868031315,0.029562257143964984,0.01908498930812355,0.0833538047767915,5400.0,,,,,,,,,
inflation,horizon,300,ALL,ALL,16,0.01260336478676515,0.023024261965020918,0.01264465317146395,0.07036700006704043,5400.0,,,,,,,,,
