comparison,n_segments,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,p_boot_auroc,delta_auprc,delta_auprc_ci_lo,delta_auprc_ci_hi,n_boot_used,p_holm
single_kernel vs AB_noaux,60,-0.0012499999999999734,-0.007499999999999951,0.0,1.0,-0.0024999999999999467,-0.0153584510727367,0.0,10000,1.0
single_kernel vs ESN_66,60,0.4125000000000001,0.2361901366845606,0.5943540507773499,0.0,0.42189097888246907,0.24018050215279174,0.6350897214354965,10000,0.0
