model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,16,1,Z013,1.0699751526993115,1.0699751526993115,0.0
QRC_K0,Z,16,1,Z019,1.0360255938126715,1.0360255938126717,2.220446049250313e-16
QRC_K0,Z,16,1,Z028,1.039054584512604,1.039054584512604,0.0
QRC_K0,Z,16,1,Z030,1.0607660786628486,1.0607660786628486,0.0
QRC_K0,Z,16,1,Z034,1.0159660766102765,1.0159660766102765,0.0
QRC_K0,Z,16,1,Z035,0.8152286364898462,0.8152286364898462,0.0
QRC_K0,Z,16,1,Z037,0.9519810528499648,0.9519810528499648,0.0
QRC_K0,Z,16,1,Z067,0.9459962423337781,0.945996242333778,1.1102230246251565e-16
QRC_K0,Z,16,1,Z068,0.9691311377769833,0.9691311377769832,1.1102230246251565e-16
QRC_K0,Z,16,1,Z072,0.9825156112852217,0.9825156112852216,1.1102230246251565e-16
QRC_K0,Z,16,1,Z073,1.0737944843163283,1.0737944843163283,0.0
QRC_K0,Z,16,1,Z075,0.9712195912501096,0.9712195912501096,0.0
QRC_K0,Z,16,1,Z077,0.9524419613254139,0.952441961325414,1.1102230246251565e-16
QRC_K0,Z,16,1,Z080,1.0606752916656004,1.0606752916656004,0.0
QRC_K0,Z,16,1,Z082,0.9904964203572731,0.9904964203572733,1.1102230246251565e-16
QRC_K0,Z,16,1,Z083,1.0152294423119423,1.0152294423119423,0.0
QRC_K0,Z,32,1,Z005,1.032515142896805,1.032515142896805,0.0
QRC_K0,Z,32,1,Z007,1.0506590369648652,1.0506590369648652,0.0
QRC_K0,Z,32,1,Z009,1.0589788859701226,1.0589788859701226,0.0
QRC_K0,Z,32,1,Z011,1.0741596913001177,1.0741596913001177,0.0
QRC_K0,Z,32,1,Z013,1.0880102450565874,1.0880102450565874,0.0
QRC_K0,Z,32,1,Z019,1.0589439423609226,1.0589439423609226,0.0
QRC_K0,Z,32,1,Z028,1.1460936591236373,1.1460936591236373,0.0
QRC_K0,Z,32,1,Z030,1.2029244060237954,1.2029244060237954,0.0
QRC_K0,Z,32,1,Z034,1.0848952559894405,1.0848952559894405,0.0
QRC_K0,Z,32,1,Z035,0.9439182033004089,0.9439182033004088,1.1102230246251565e-16
QRC_K0,Z,32,1,Z037,1.016417392732533,1.016417392732533,0.0
QRC_K0,Z,32,1,Z067,1.04622543360054,1.04622543360054,0.0
QRC_K0,Z,32,1,Z068,1.0264468137022895,1.0264468137022895,0.0
QRC_K0,Z,32,1,Z072,1.011704340699521,1.011704340699521,0.0
QRC_K0,Z,32,1,Z073,1.1230262554129427,1.1230262554129429,2.220446049250313e-16
QRC_K0,Z,32,1,Z075,1.0097455222901253,1.0097455222901253,0.0
QRC_K0,Z,32,1,Z077,1.0056827382333187,1.0056827382333189,2.220446049250313e-16
QRC_K0,Z,32,1,Z080,1.1536161564447336,1.1536161564447336,0.0
QRC_K0,Z,32,1,Z082,1.0258969329907108,1.0258969329907108,0.0
QRC_K0,Z,32,1,Z083,1.144550276197445,1.144550276197445,0.0
QRC_K0,Z,64,1,Z005,1.0859503646847628,1.0859503646847628,0.0
QRC_K0,Z,64,1,Z007,1.0433540415702474,1.0433540415702474,0.0
QRC_K0,Z,64,1,Z009,1.0899000843542432,1.0899000843542432,0.0
QRC_K0,Z,64,1,Z011,1.0789935717250998,1.0789935717250998,0.0
QRC_K0,Z,64,1,Z013,1.076689320063751,1.076689320063751,0.0
QRC_K0,Z,64,1,Z019,1.0810700974054055,1.0810700974054055,0.0
QRC_K0,Z,64,1,Z028,1.306383771270876,1.306383771270876,0.0
QRC_K0,Z,64,1,Z030,1.3021300285040842,1.3021300285040842,0.0
QRC_K0,Z,64,1,Z034,1.123960708745085,1.123960708745085,0.0
QRC_K0,Z,64,1,Z035,1.0371982368214292,1.0371982368214292,0.0
QRC_K0,Z,64,1,Z037,1.0459877887361906,1.0459877887361906,0.0
QRC_K0,Z,64,1,Z067,1.113518027554999,1.113518027554999,0.0
QRC_K0,Z,64,1,Z068,1.0484110140837988,1.0484110140837988,0.0
QRC_K0,Z,64,1,Z072,1.0317813365036088,1.0317813365036088,0.0
QRC_K0,Z,64,1,Z073,1.2618277348659808,1.2618277348659808,0.0
QRC_K0,Z,64,1,Z075,1.0364300343036408,1.0364300343036408,0.0
QRC_K0,Z,64,1,Z077,1.0402717377053867,1.0402717377053867,0.0
QRC_K0,Z,64,1,Z080,1.267206390210623,1.267206390210623,0.0
QRC_K0,Z,64,1,Z082,1.0152506642994943,1.0152506642994945,2.220446049250313e-16
QRC_K0,Z,64,1,Z083,1.2754401906693285,1.2754401906693285,0.0
QRC_K0,Z,128,1,Z005,1.0744209599243535,1.0744209599243535,0.0
QRC_K0,Z,128,1,Z007,1.0600742061771506,1.0600742061771506,0.0
QRC_K0,Z,128,1,Z009,1.059608170216413,1.059608170216413,0.0
QRC_K0,Z,128,1,Z011,1.086269020777503,1.086269020777503,0.0
QRC_K0,Z,128,1,Z013,1.0322055230209126,1.0322055230209126,0.0
QRC_K0,Z,128,1,Z019,1.042125438965778,1.042125438965778,0.0
QRC_K0,Z,128,1,Z028,1.2405502928236485,1.2405502928236485,0.0
QRC_K0,Z,128,1,Z030,1.343409673031785,1.343409673031785,0.0
QRC_K0,Z,128,1,Z034,1.1287816086751796,1.1287816086751796,0.0
QRC_K0,Z,128,1,Z035,1.0871251827203912,1.0871251827203912,0.0
QRC_K0,Z,128,1,Z037,1.0521019928414297,1.0521019928414297,0.0
QRC_K0,Z,128,1,Z067,1.0675910441289633,1.067591044128963,2.220446049250313e-16
QRC_K0,Z,128,1,Z068,1.0585461284927629,1.0585461284927629,0.0
QRC_K0,Z,128,1,Z072,1.0368455269209478,1.0368455269209478,0.0
QRC_K0,Z,128,1,Z073,1.2901593399546243,1.2901593399546245,2.220446049250313e-16
QRC_K0,Z,128,1,Z075,1.0523771927053431,1.0523771927053431,0.0
QRC_K0,Z,128,1,Z077,1.0441751500925154,1.0441751500925154,0.0
QRC_K0,Z,128,1,Z080,1.3107750612445972,1.3107750612445972,0.0
QRC_K0,Z,128,1,Z082,1.0341700719711924,1.0341700719711924,0.0
QRC_K0,Z,128,1,Z083,1.2695187930574987,1.2695187930574987,0.0
QRC_K0,Z,1,2,Z005,0.26460430187450124,0.2646043018745012,5.551115123125783e-17
QRC_K0,Z,1,2,Z007,0.2477634051418619,0.2477634051418619,0.0
QRC_K0,Z,1,2,Z009,0.25076178448457925,0.2507617844845792,5.551115123125783e-17
QRC_K0,Z,1,2,Z011,0.2484599684717202,0.2484599684717202,0.0
QRC_K0,Z,1,2,Z013,0.21441654007026925,0.2144165400702692,5.551115123125783e-17
QRC_K0,Z,1,2,Z019,0.2168865802298015,0.2168865802298015,0.0
QRC_K0,Z,1,2,Z028,0.22620553577637212,0.2262055357763721,2.7755575615628914e-17
QRC_K0,Z,1,2,Z030,0.5931635560321088,0.5931635560321088,0.0
QRC_K0,Z,1,2,Z034,0.4037627016848113,0.4037627016848113,0.0
QRC_K0,Z,1,2,Z035,0.15913094595385702,0.159130945953857,2.7755575615628914e-17
QRC_K0,Z,1,2,Z037,0.22029951869223593,0.2202995186922359,2.7755575615628914e-17
QRC_K0,Z,1,2,Z067,0.21510214824813134,0.2151021482481313,5.551115123125783e-17
QRC_K0,Z,1,2,Z068,0.24870398376783617,0.2487039837678361,8.326672684688674e-17
