construction,hp,linear_capacity_mean,linear_capacity_std,n_qubits_or_units,n_features,n_seeds
QRC_K0,{},4.12029515406481,0.244649074124578,4,66,5
AB_noaux,"{""tau"": 5, ""delayed_mass"": 0.3}",2.60857165179939,0.06536282081723531,4,66,5
single_kernel,"{""K"": 15, ""r"": 0.9, ""past_mass"": 0.3}",3.4232188477627785,0.1997959346891568,4,66,5
dual_kernel,"{""K"": 15, ""r_fast"": 0.5, ""r_slow"": 0.9, ""fast_mass"": 0.2, ""slow_mass"": 0.3}",3.0963841994405703,0.06939515748094789,4,66,5
triangular,"{""K"": 15, ""past_mass"": 0.3}",3.420392132507267,0.1910818083482288,4,66,5
uniform,"{""K"": 15, ""past_mass"": 0.3}",3.3617184557812374,0.20530542239242547,4,66,5
ESN,"{""n_reservoir"": 200, ""spectral_radius"": 0.5, ""input_scale"": 1.0, ""leak_rate"": 0.7}",3.233340145771701,0.04424939271581699,200,200,5
