shots,set,comparator,interaction_comp_minus_kernel,ci95_low,ci95_high,exact_interaction,interaction_change_from_exact,sign_preserved
0,Z,QRC_K0,0.023333416413444868,0.011636286195947882,0.037739061880583936,0.023333416413444868,0.0,True
0,Z,AB_noaux,-0.05772593795362484,-0.06609968834156807,-0.05014114068193046,-0.05772593795362484,0.0,True
0,F,QRC_K0,0.02544073488531595,0.007065277096588272,0.04600008783577432,0.02544073488531595,0.0,True
0,F,AB_noaux,-0.02913008492908783,-0.039135788018335026,-0.01786005371466493,-0.02913008492908783,0.0,True
0,S,QRC_K0,-0.004187449249490588,-0.009313154922508777,0.0009325342423544118,-0.004187449249490588,0.0,True
0,S,AB_noaux,-0.09638056811096345,-0.10880826815178686,-0.08411801846928171,-0.09638056811096345,0.0,True
100,Z,QRC_K0,0.01406237838203874,0.0014344707959295206,0.029499845853400337,0.023333416413444868,-0.009271038031406128,True
100,Z,AB_noaux,-0.007214949189476072,-0.013359342989806743,-0.0020406665323586615,-0.05772593795362484,0.050510988764148765,True
100,F,QRC_K0,0.026253112176249135,0.015950351833369868,0.0392936647435097,0.02544073488531595,0.0008123772909331868,True
100,F,AB_noaux,-0.006851393765079205,-0.010207827051261656,-0.0036501089483349045,-0.02913008492908783,0.022278691164008626,True
100,S,QRC_K0,0.0056560173749825,0.0014927898375446359,0.00923539525301862,-0.004187449249490588,0.009843466624473088,False
100,S,AB_noaux,-0.001668578032258056,-0.00604425346549809,0.0035610784526260396,-0.09638056811096345,0.09471199007870539,True
300,Z,QRC_K0,0.021217947762157453,0.006371452163764966,0.03908913294326904,0.023333416413444868,-0.002115468651287415,True
300,Z,AB_noaux,-0.00888929346503803,-0.013539977444251729,-0.004633655080089329,-0.05772593795362484,0.04883664448858681,True
300,F,QRC_K0,0.02538972791209865,0.014512020409773929,0.03793498779468625,0.02544073488531595,-5.100697321729769e-05,True
300,F,AB_noaux,-0.010683725705919387,-0.01671487826889669,-0.0043004610244649815,-0.02913008492908783,0.018446359223168445,True
300,S,QRC_K0,0.0065276565200052825,0.0033100471637447144,0.00980090455263506,-0.004187449249490588,0.01071510576949587,False
300,S,AB_noaux,-0.010697852943168561,-0.019165007080895212,-0.0012646660132453343,-0.09638056811096345,0.08568271516779488,True
1000,Z,QRC_K0,0.029633613417789726,0.01685019367950071,0.04571174171472626,0.023333416413444868,0.006300197004344858,True
1000,Z,AB_noaux,-0.017232695796078695,-0.022712625244157708,-0.011896308893123979,-0.05772593795362484,0.04049324215754614,True
1000,F,QRC_K0,0.03145693107045295,0.018474654690859446,0.04624583103456837,0.02544073488531595,0.006016196185137001,True
1000,F,AB_noaux,-0.010797588284999445,-0.015868589813333563,-0.0062398190339173895,-0.02913008492908783,0.018332496644088387,True
1000,S,QRC_K0,0.010438213517842848,0.0049681865461590384,0.015469338673820054,-0.004187449249490588,0.014625662767333437,False
1000,S,AB_noaux,-0.01724888388570893,-0.03163731838680537,-0.0017510592446590948,-0.09638056811096345,0.07913168422525452,True
3000,Z,QRC_K0,0.03247841132464746,0.01993006366927054,0.04812876349229052,0.023333416413444868,0.009144994911202593,True
3000,Z,AB_noaux,-0.026342222558581655,-0.032714119595314915,-0.01983103595286741,-0.05772593795362484,0.031383715395043185,True
3000,F,QRC_K0,0.035115889600400164,0.022329676465362606,0.04994924538627746,0.02544073488531595,0.009675154715084216,True
3000,F,AB_noaux,-0.012485990721582674,-0.01979980119106714,-0.0057393416016325235,-0.02913008492908783,0.016644094207505157,True
3000,S,QRC_K0,0.0187974900648251,0.014310403468078358,0.023108129111847342,-0.004187449249490588,0.022984939314315687,False
3000,S,AB_noaux,-0.033351199170503075,-0.04952554899895377,-0.016661320679480705,-0.09638056811096345,0.06302936894046038,True
10000,Z,QRC_K0,0.03238658966531088,0.019446787147344505,0.048559157092935644,0.023333416413444868,0.009053173251866015,True
10000,Z,AB_noaux,-0.036676701632059036,-0.042868191504682934,-0.03035091145588585,-0.05772593795362484,0.0210492363215658,True
10000,F,QRC_K0,0.03783503704846928,0.022195987961827833,0.054618511063217086,0.02544073488531595,0.01239430216315333,True
10000,F,AB_noaux,-0.010636812211136534,-0.016011236097761977,-0.0052973325654223965,-0.02913008492908783,0.018493272717951297,True
10000,S,QRC_K0,0.02309864219788543,0.01853661766346612,0.028388340273309165,-0.004187449249490588,0.027286091447376017,False
10000,S,AB_noaux,-0.05264178518006645,-0.06759748657764769,-0.038147967397961446,-0.09638056811096345,0.043738782930896995,True
