construction,set,horizon,horizon_ms,n_segments,mean_nrmse,ci95_lo,ci95_hi
AB_noaux,F,1,5.76003686423593,20,0.24855065615059005,0.2105908376552889,0.2960161883694893
AB_noaux,F,2,11.52007372847186,20,0.3799520524244384,0.334705908349889,0.42828328405493166
AB_noaux,F,4,23.04014745694372,20,0.6350842672686845,0.5784413287110762,0.6913354936475338
AB_noaux,F,8,46.08029491388744,20,0.9148477985710859,0.8625065235519781,0.9637030066125537
AB_noaux,F,16,92.16058982777488,20,1.0395871991876746,1.0025763488753772,1.0774948840827236
AB_noaux,F,32,184.32117965554977,20,1.0577330513584473,1.0352923491662034,1.0793117396633543
AB_noaux,F,64,368.64235931109954,20,1.0405954251567804,1.0257670621545032,1.0551085500867532
AB_noaux,F,128,737.2847186221991,20,1.0405523588365289,1.0269453506209898,1.055702904206508
AB_noaux,S,1,5.76003686423593,20,0.2353897667514508,0.20612672429498957,0.26598159738142213
AB_noaux,S,2,11.52007372847186,20,0.4460178007649215,0.3979252852449437,0.4982833586518401
AB_noaux,S,4,23.04014745694372,20,0.799416851688345,0.7428500286424929,0.8609798453714049
AB_noaux,S,8,46.08029491388744,20,0.9451456715535034,0.9045449059953835,0.9866445282086808
AB_noaux,S,16,92.16058982777488,20,0.9566419714055676,0.9266738217462074,0.9873555904972685
AB_noaux,S,32,184.32117965554977,20,0.9942219065746422,0.9769470339512796,1.0108848511072008
AB_noaux,S,64,368.64235931109954,20,1.0077417219684792,1.002671826608098,1.0148532610909333
AB_noaux,S,128,737.2847186221991,20,1.0026729198375386,0.9995222744592753,1.005741251340842
AB_noaux,Z,1,5.76003686423593,20,0.30834109828972994,0.27640416093766584,0.3501062102570528
AB_noaux,Z,2,11.52007372847186,20,0.5496406699065151,0.5074221413928067,0.6003521402407752
AB_noaux,Z,4,23.04014745694372,20,0.8629975428596639,0.825827360591808,0.9017724780161739
AB_noaux,Z,8,46.08029491388744,20,0.9648278531333669,0.9401286985246232,0.9852533014874127
