set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact
F,AB_noaux,16,3000,1.0819282884944426,0.0246129553137042,0.03196488135528355,0.020700453105583896,0.04360059322972689,0.025585248034985048,0.030544211555672853,0.08048758387748714,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,16,10000,1.0755986519898946,0.0206540305248836,0.025635244850735917,0.0165196798514894,0.034992177775522736,0.02116403976094295,0.024692360511470498,0.06661690876043841,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,32,100,1.1121246147721062,0.027549404755682648,0.05032850610401254,0.026311656608888425,0.07969405816389427,0.02699894141284505,0.04667587519403648,0.12703066764147275,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,32,300,1.1045104511455675,0.02624671335134005,0.042714342477473966,0.024303571279312916,0.06674449668441011,0.02507583524654855,0.03977069021609111,0.10211033754417993,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,32,1000,1.0970734616905153,0.023966060237596648,0.03527735302242167,0.020995701664606858,0.05307825036907387,0.02266454129045015,0.03302139659522291,0.08146261304322665,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,32,3000,1.0917400140166758,0.02101320330305015,0.029943905348582055,0.017824300088736315,0.044227018876677,0.01993311909862595,0.028214483005520954,0.07296999792291886,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,32,10000,1.0859690682514216,0.01615755904807865,0.024172959583328026,0.014241840916894382,0.03598068776094886,0.015498861151312951,0.02282112494069114,0.05657069841652482,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,64,100,1.0913099384016576,0.0269005108694292,0.04743307106432441,0.025624461636899316,0.07807149317938196,0.02614503455771405,0.04438296880068733,0.1109840220632752,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,64,300,1.0819813625283576,0.0231370601671319,0.03810449519102459,0.02215003554890161,0.059095360183860544,0.022812275173140148,0.035672067087177045,0.0803548918716552,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,64,1000,1.0738979224764245,0.01961472998294475,0.030021055139091455,0.017651445542872176,0.04459313108346612,0.0187165471630553,0.028182699436884562,0.0633051472059569,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,64,3000,1.0665731115172525,0.016458009958900198,0.022696244179919407,0.014752815341560371,0.03305126992187639,0.0160898279954511,0.02140861178292275,0.050358381033109835,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,64,10000,1.0622907506237822,0.013052287799745599,0.018413883286449325,0.011610223421351653,0.02634103847913952,0.01265455631345325,0.01738235502211611,0.04188586586810693,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,128,100,1.0749569461848325,0.0159406756621356,0.02664774609351206,0.013227889143735563,0.042926019677072554,0.01534950465135465,0.02433978612873204,0.06721892706369234,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,128,300,1.0687100833116707,0.01197962553446395,0.020400883220350097,0.010811785421485852,0.03341927103859303,0.011675142684382599,0.0186281033666865,0.05106211952613809,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,128,1000,1.0629979347121363,0.00959432231969045,0.014688734620815656,0.007431878382933447,0.023761154968118797,0.0092281950442863,0.013441863193588702,0.03431003804066165,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,AB_noaux,128,3000,1.0575534295692706,0.0052801532733233,0.00924422947795004,0.004828971411192771,0.015193218785646988,0.0050206526554258495,0.00851405565375341,0.022344959106116315,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,AB_noaux,128,10000,1.0544937447835778,0.0021820019400293,0.006184544692257282,0.002670199947534815,0.010523952256591338,0.0020669801963672,0.005731344259025416,0.02020518311342727,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,1,100,0.7273541534193235,0.40608857492801653,0.48093747138202086,0.3866399691484748,0.5912479440729461,2.3310541116148435,2.331448115007061,3.987474103744081,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,1,300,0.6031941064137283,0.29985550664725336,0.35677742437642557,0.2738687978213977,0.441219490049953,1.6532380184734519,1.7418034860230351,3.1090150085842696,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,1,1000,0.49125222376642796,0.2042862648909139,0.24483554172912533,0.18225334085039993,0.31471609876999856,1.1230939575911354,1.2178781186577439,2.2648421863391515,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,1,3000,0.4227370086233961,0.1418407096477032,0.1763203265860934,0.12494371408157748,0.23067438613181207,0.8142323002930257,0.8930229837993939,1.772877633279426,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,1,10000,0.37188928331034904,0.0983868615205643,0.12547260127304627,0.08354278653079547,0.1699840329475563,0.5853695881892036,0.6450766246092292,1.3569525484004037,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,2,100,0.7930390271416515,0.3485555743654166,0.41963296705886705,0.3325007536169923,0.5148781413039346,1.3016603261725548,1.2691805367936588,2.157859899788229,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,2,300,0.681907016334729,0.2606236700069226,0.3085009562519445,0.23544564506800678,0.3913560066318873,0.9509971657074345,0.9389644871792905,1.704206369809336,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,2,1000,0.5834448825473243,0.17416905666754656,0.21003882246453967,0.15043057029389278,0.2735882017155799,0.6507076185536556,0.6485022790029067,1.2134211739719556,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,2,3000,0.5222368940515505,0.11894237145901301,0.1488308339687658,0.10112762200455266,0.19669457066125182,0.47265115386446754,0.46680893785535865,0.9377626659648658,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
