construction,set,horizon,seed,alpha,selection_scheme
dual_kernel,S,2,5,1e-08,blocked_segments_train_val
dual_kernel,S,4,5,0.0001,blocked_segments_train_val
dual_kernel,S,8,5,0.0001,blocked_segments_train_val
dual_kernel,S,1,6,1e-08,blocked_segments_train_val
dual_kernel,S,2,6,1e-08,blocked_segments_train_val
dual_kernel,S,4,6,0.001,blocked_segments_train_val
dual_kernel,S,8,6,0.001,blocked_segments_train_val
dual_kernel,S,1,7,1e-08,blocked_segments_train_val
dual_kernel,S,2,7,1e-08,blocked_segments_train_val
dual_kernel,S,4,7,1e-08,blocked_segments_train_val
dual_kernel,S,8,7,0.01,blocked_segments_train_val
dual_kernel,S,1,8,1e-08,blocked_segments_train_val
dual_kernel,S,2,8,0.001,blocked_segments_train_val
dual_kernel,S,4,8,1e-08,blocked_segments_train_val
dual_kernel,S,8,8,0.01,blocked_segments_train_val
dual_kernel,S,1,9,1e-08,blocked_segments_train_val
dual_kernel,S,2,9,0.01,blocked_segments_train_val
dual_kernel,S,4,9,1e-08,blocked_segments_train_val
dual_kernel,S,8,9,0.01,blocked_segments_train_val
dual_kernel,S,1,10,0.0001,blocked_segments_train_val
dual_kernel,S,2,10,1e-08,blocked_segments_train_val
dual_kernel,S,4,10,1e-08,blocked_segments_train_val
dual_kernel,S,8,10,0.001,blocked_segments_train_val
triangular,Z,1,1,1e-08,blocked_segments_train_val
triangular,Z,2,1,1e-08,blocked_segments_train_val
triangular,Z,4,1,1e-08,blocked_segments_train_val
triangular,Z,8,1,0.01,blocked_segments_train_val
triangular,Z,1,2,1e-08,blocked_segments_train_val
triangular,Z,2,2,1e-08,blocked_segments_train_val
triangular,Z,4,2,1e-08,blocked_segments_train_val
triangular,Z,8,2,0.1,blocked_segments_train_val
triangular,Z,1,3,0.001,blocked_segments_train_val
triangular,Z,2,3,0.001,blocked_segments_train_val
triangular,Z,4,3,0.001,blocked_segments_train_val
triangular,Z,8,3,0.01,blocked_segments_train_val
triangular,Z,1,4,0.01,blocked_segments_train_val
triangular,Z,2,4,0.0001,blocked_segments_train_val
triangular,Z,4,4,1e-08,blocked_segments_train_val
triangular,Z,8,4,0.01,blocked_segments_train_val
triangular,Z,1,5,0.0001,blocked_segments_train_val
triangular,Z,2,5,0.0001,blocked_segments_train_val
triangular,Z,4,5,1e-08,blocked_segments_train_val
triangular,Z,8,5,0.001,blocked_segments_train_val
triangular,Z,1,6,0.001,blocked_segments_train_val
triangular,Z,2,6,0.001,blocked_segments_train_val
triangular,Z,4,6,0.01,blocked_segments_train_val
triangular,Z,8,6,0.01,blocked_segments_train_val
triangular,Z,1,7,1e-08,blocked_segments_train_val
triangular,Z,2,7,1e-08,blocked_segments_train_val
triangular,Z,4,7,0.01,blocked_segments_train_val
triangular,Z,8,7,0.01,blocked_segments_train_val
triangular,Z,1,8,0.001,blocked_segments_train_val
triangular,Z,2,8,0.001,blocked_segments_train_val
triangular,Z,4,8,0.0001,blocked_segments_train_val
