set,r2_linear,r2_quadratic,nonlinear_demand
Z,0.9277034613665787,0.9279296160571846,0.00024371966008249782
F,0.9743544268419024,0.974477098068478,0.00012588415553198558
S,0.9790971517858686,0.9790754896445752,0.0
