stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,step_cosine_similarity,10,10,-1,,0.9959626446768448,0.9967333639805943,0.0021223027621200883,0.9925087165912914,0.9991672615602625,0.9925220498653101,0.9945135836583556,0.9972483739793823,0.9978518306883047
"r=0.7,u0=-0.5",0.7,-0.5,tangent_recurrence,joint_pass_all4,10,10,10,1.0,,,,,,,,,
"r=0.7,u0=-0.5",0.7,-0.5,separable_W_times_R,joint_pass_all4,10,10,0,0.0,,,,,,,,,
"r=0.7,u0=-0.5",0.7,-0.5,n/a,locally_stable_over_valid,10,10,10,1.0,,,,,,,,,
"r=0.7,u0=-0.5",0.7,-0.5,n/a,locally_stable_over_total,10,10,10,1.0,,,,,,,,,
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,impulse_relative_frobenius,10,10,10,1.0,3.2566660807073394e-05,3.3005156746678666e-05,9.691472137303626e-06,1.8406806625122307e-05,4.7351885168112705e-05,2.1303617641858125e-05,2.3223257305557175e-05,4.1150763059145164e-05,4.371329419120614e-05
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,step_relative_frobenius,10,10,10,1.0,4.454236694811711e-05,4.2434940719338826e-05,8.044759429843807e-06,3.2446423358861674e-05,5.8061605065233335e-05,3.6733494909759606e-05,3.981904567266693e-05,4.935588804977564e-05,5.749683499513478e-05
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,frequency_relative_frobenius,10,10,10,1.0,3.2566660807073455e-05,3.300515674667777e-05,9.691472137303567e-06,1.8406806625123377e-05,4.735188516811399e-05,2.130361764185769e-05,2.322325730555801e-05,4.11507630591455e-05,4.371329419120572e-05
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,memory_function_l1,10,10,10,1.0,1.642073911522627e-05,1.4437633832496106e-05,1.1359396240730434e-05,2.8197972231018636e-06,3.658737138044771e-05,2.824782427832159e-06,6.058159155074072e-06,2.6580164461287138e-05,2.931040598880212e-05
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,impulse_cosine_similarity,10,10,-1,,0.9999999995238786,0.9999999995725629,2.673134266342716e-10,0.9999999989937896,0.9999999998457864,0.9999999991171116,0.9999999994130949,0.9999999997452784,0.9999999997837337
"r=0.7,u0=0.0",0.7,0.0,tangent_recurrence,step_cosine_similarity,10,10,-1,,0.9999999992273221,0.9999999992542393,1.892536886552355e-10,0.9999999989251975,0.9999999994840447,0.999999999027315,0.9999999990519426,0.9999999994023462,0.9999999994531399
"r=0.7,u0=0.0",0.7,0.0,separable_W_times_R,impulse_relative_frobenius,10,10,0,0.0,0.39813764014200387,0.39142171979867924,0.044205869468014226,0.34910970895001703,0.4913915293720089,0.34913863675466195,0.35750670900439324,0.4202095337951576,0.44896335917669133
"r=0.7,u0=0.0",0.7,0.0,separable_W_times_R,step_relative_frobenius,10,10,0,0.0,0.11737083707353654,0.11352673537533808,0.03857749871177965,0.06898809018736853,0.2034899209683431,0.07438598660658198,0.08783085191766635,0.13661750544202353,0.15615025992317483
"r=0.7,u0=0.0",0.7,0.0,separable_W_times_R,frequency_relative_frobenius,10,10,0,0.0,0.3981376401420038,0.3914217197986792,0.0442058694680143,0.349109708950017,0.491391529372009,0.3491386367546618,0.3575067090043931,0.42020953379515763,0.4489633591766913
