seed,r,u0,epsilon,fixed_point_converged,fixed_iterations,fixed_final_difference,companion_spectral_radius,companion_stable,companion_dimension,n_unstable_modes,dominant_abs_1,dominant_abs_2,dominant_abs_3,companion_max_real_part,max_A_eigenvalue_abs,valid,exception,K,past_mass,git_commit,config_sha256,protocol_sha256
3,0.7,-0.5,0.0001,True,1220,9.935707686955879e-14,0.9898271447039135,True,4080,0,0.9898271447039135,0.9682489186424363,0.9589692332683006,0.9898271447039135,0.9797510139991701,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
3,0.9,-0.5,0.0001,True,1220,9.935707686955879e-14,0.9929210006578371,True,4080,0,0.9929210006578371,0.9780549745007731,0.9717153768096133,0.9929210006578371,0.9797510139991701,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
3,0.7,0.0,0.0001,True,1020,9.79047689589236e-14,0.9889787204903713,True,4080,0,0.9889787204903713,0.9713947143711841,0.9702167249403497,0.9889787204903713,0.9780510204865487,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
3,0.9,0.0,0.0001,True,1020,9.79047689589236e-14,0.9923327890161318,True,4080,0,0.9923327890161318,0.9802108063029484,0.9794031029355077,0.9923327890161318,0.9780510204865487,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
3,0.7,0.5,0.0001,True,658,9.870162984271476e-14,0.9808135205358866,True,4080,0,0.9808135205358866,0.9751150144883232,0.9730731319816281,0.9808135205358866,0.961599011499034,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
3,0.9,0.5,0.0001,True,658,9.870162984271476e-14,0.9866880481629869,True,4080,0,0.9866880481629869,0.9827650849084058,0.9813625231872509,0.9866880481629869,0.961599011499034,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
4,0.7,-0.5,0.0001,True,547,9.560869046743069e-14,0.978073654336566,True,4080,0,0.978073654336566,0.9560397590973224,0.9157498972214477,0.978073654336566,0.956040602042495,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
4,0.9,-0.5,0.0001,True,547,9.560869046743069e-14,0.9848002436000867,True,4080,0,0.9848002436000867,0.9697197245784215,0.9424625537806622,0.9848002436000867,0.956040602042495,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
4,0.7,0.0,0.0001,True,495,9.940309378303952e-14,0.9756373700059067,True,4080,0,0.9756373700059067,0.9579632343096218,0.9237899043319382,0.9756373700059067,0.9510817059231013,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
4,0.9,0.0,0.0001,True,495,9.940309378303952e-14,0.9831241471558234,True,4080,0,0.9831241471558234,0.9710297684526502,0.9478828789913719,0.9831241471558234,0.9510817059231013,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
