seed,r,u0,epsilon,is_confirmatory_epsilon,tangent_impulse_relative_frobenius,tangent_step_relative_frobenius,separable_impulse_relative_frobenius,separable_step_relative_frobenius,valid,K,past_mass,git_commit,config_sha256,protocol_sha256
1,0.7,-0.5,1e-05,False,4.845629192095152e-06,5.782011270484691e-06,0.4145111793151402,0.08948392303727552,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,3e-05,False,1.4536468195666503e-05,1.7345896469343313e-05,0.41450786854249366,0.08947779581052343,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,0.0001,True,4.8454455673861315e-05,5.781541629515462e-05,0.41449628273173894,0.0894563620336813,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,0.0003,False,0.00014535686870831833,0.00017340691248794116,0.4144631959564113,0.08939522231356915,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,0.001,False,0.00048444411220446837,0.0005775610946824278,0.4143475735094466,0.0891823967847243,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,0.003,False,0.0014526539940130172,0.001728730254293361,0.41401877715508084,0.08858431934311577,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,-0.5,0.01,False,0.004834245546945716,0.005716675047533771,0.4128861121218091,0.08660850060449501,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,1e-05,False,4.681886208779846e-06,5.929492123812594e-06,0.46267588166730306,0.15182681729033198,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,3e-05,False,1.4045778102429153e-05,1.7788209012785374e-05,0.4626727773354667,0.1518192851249433,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,0.0001,True,4.681865001264703e-05,5.9289845485652425e-05,0.4626619140213105,0.15179293058368085,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,0.0003,False,0.00014045054185420246,0.00017783093183478037,0.46263088872655744,0.15171770221622685,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,0.001,False,0.00046810203862577166,0.0005923164463383484,0.4625224498713643,0.1514552234112786,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,0.003,False,0.0014037334286111322,0.001773069474512164,0.46221390743673085,0.15071231710875954,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,-0.5,0.01,False,0.004672407984554071,0.005865296689583009,0.46114897515050185,0.14819420590779778,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,1e-05,False,2.7419094964134915e-06,4.0715344630222745e-06,0.41862056172537027,0.06898521973595104,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,3e-05,False,8.225162324893944e-06,1.221533047996406e-05,0.41861918310065716,0.06898585571370455,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,0.0001,True,2.7415887598116846e-05,4.071965506246694e-05,0.4186143584528049,0.06898809018736853,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,0.0003,False,8.224286403127185e-05,0.00012216848439322188,0.41860057992607963,0.06899454677374428,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,0.001,False,0.000274094411332161,0.00040733162338189985,0.41855242747751875,0.0690179894752035,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,0.003,False,0.000821874243187047,0.0012228737007276519,0.4184154693066691,0.06909221163650814,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.7,0.0,0.01,False,0.002734819488196259,0.004086476248968455,0.4179433348009888,0.06943653537681474,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,0.0,1e-05,False,2.78949799089798e-06,3.9441638931877614e-06,0.48249732672894047,0.11488172785225248,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
1,0.9,0.0,3e-05,False,8.367713503750987e-06,1.1833131886971865e-05,0.48249599108185787,0.11488243648789441,True,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
